state,x,y
Andhra Pradesh,-49.0,-124.0
Arunachal Pradesh,163.0,106.0
Assam,136.0,65.0
Bihar,52.0,46.0
Chhattisgarh,-11.0,-25.0
Goa,-125.0,-115.0
Gujarat,-164.0,5.0
Haryana,-86.0,105.0
Himachal Pradesh,-66.0,150.0
Jharkhand,37.0,13.0
Karnataka,-106.0,-127.0
Kerala,-98.0,-195.0
Madhya Pradesh,-88.0,2.0
Maharashtra,-119.0,-55.0
Manipur,160.0,39.0
Meghalaya,109.0,49.0
Mizoram,147.0,9.0
Nagaland,167.0,65.0
Odisha,28.0,-36.0
Punjab,-100.0,133.0
Rajasthan,-146.0,62.0
Sikkim,83.0,81.0
Tamil Nadu,-58.0,-183.0
Telangana,-53.0,-75.0
Tripura,128.0,25.0
Uttar Pradesh,-36.0,72.0
Uttarakhand,-39.0,122.0
West Bengal,82.0,5.0
Andaman And Nicobar Islands,139.0,-152.0
Chandigarh,-74.0,126.0
Daman And Diu,-166.0,-34.0
Delhi,-69.0,92.0
Jammu And Kashmir,-105.0,175.0
Ladakh,-58.0,192.0
Lakshadweep,-164.0,-166.0
Puducherry,-31.0,-169.0